character.names.wikipedia,identifier,total_appearences
AEMON,2,45
AERON GREYJOY,3,10
ALLISER THORNE,6,64
ALTON LANNISTER,7,7
ALYS KARSTARK,8,1
ANYA WAYNWOOD,11,14
AREO HOTAH,12,8
ARTHUR,14,8
ARYA STARK,16,416
BALON GREYJOY,18,29
BARRISTAN SELMY,20,56
BELICHO PAENYMION,21,2
BENJEN STARK,22,39
BERIC DONDARRION,23,40
BIANCA,24,7
BLACK WALDER RIVERS,26,12
BOBONO,27,14
BOWEN MARSH,29,1
BRAN STARK,30,213
BRIENNE OF TARTH,31,152
BRONN,32,194
BRYNDEN TULLY,34,39
CAMELLO,36,17
CATELYN STARK,37,185
CERSEI LANNISTER,39,570
CLARENZO,40,9
COOPER,42,1
CRASTER,43,16
CRESSEN,44,7
DAARIO NAHARIS,45,118
DAENERYS TARGARYEN,46,573
DAISY,48,3
DAVOS SEAWORTH,49,265
DICKON TARLY,51,17
DIM DALBA,52,2
DONNEL HILL,55,4
DONTOS HOLLARD,57,5
DORAN MARTELL,58,30
DOREAH,59,29
EBROSE,62,57
EDDARD STARK,63,358
EDDISON TOLLETT,64,54
EDMURE TULLY,65,19
ELLARIA SAND,66,53
EURON GREYJOY,67,48
FENNESZ,69,8
GARED,71,4
GATINS,72,9
GENDRY,73,68
GILLY,76,119
GREATJON UMBER,77,20
GREGOR CLEGANE,78,2
GRENN,80,48
GREY WORM,82,75
HARALD KARSTARK,86,1
HIZDAHR ZO LORAQ,94,42
HODOR,95,27
HOT PIE,97,32
HUGH,99,3
ILLYRIO MOPATIS,101,17
IRRI,103,19
IZEMBARO,104,19
JAIME LANNISTER,108,466
JANOS SLYNT,109,57
JAQEN H'GHAR,110,77
JEOR MORMONT,111,52
JOFFREY BARATHEON,112,87
JOJEN REED,114,20
JON SNOW,116,710
JORAH MORMONT,117,259
JORY CASSEL,118,31
KARSI,121,14
KEVAN LANNISTER,124,29
KHAL DROGO,126,27
KHAL MORO,128,21
KINVARA,131,10
LADY CRANE,136,47
LANCEL LANNISTER,137,32
LEAF,138,5
LEM LEMONCLOAK,139,6
LITTLE SAM,141,1
LOBODA,142,13
LOLLYS STOKEWORTH,144,8
LOMMY GREENHANDS,145,8
LORAS TYRELL,146,57
LORD OF BONES,147,13
LOTHAR FREY,149,10
LUWIN,151,52
LYANNA MORMONT,152,30
LYANNA STARK,153,3
LYSA ARRYN,154,31
MACE TYRELL,155,25
MAGGY FROG,157,10
MAGO,158,4
MALKO,159,16
MANCE RAYDER,160,36
MARGAERY TYRELL,163,120
MARILLION,164,14
MATTHOS SEAWORTH,167,17
MEERA REED,168,49
MELARA HETHERSPOON,169,7
MELESSA TARLY,170,14
MELISANDRE,171,112
MERYN TRANT,173,20
MHAEGEN,174,6
MIRRI MAZ DUUR,175,22
MISSANDEI,176,102
MOSSADOR,179,13
MYCAH,181,4
MYRANDA,182,24
MYRCELLA BARATHEON,183,31
NYMERIA SAND,186,13
OBARA SAND,187,18
OBERYN MARTELL,188,14
OLD NAN,189,8
OLENNA TYRELL,190,93
OLLY,191,20
OLYVAR,193,17
ORELL,194,10
OSHA,196,63
OTHELL YARWYCK,197,7
PETYR BAELISH,199,303
PODRICK PAYNE,200,60
PORTAN,202,1
PYCELLE,205,73
PYPAR,206,31
QOTHO,209,15
QYBURN,212,63
RAKHARO,213,24
RALF KENNING,214,9
RAMSAY BOLTON,215,162
RANDYLL TARLY,216,30
RAST,217,3
RAY,218,34
RAZDAL MO ERAZ,219,7
RENLY BARATHEON,220,45
RICKARD KARSTARK,223,1
RICKARD STARK,224,2
RICKON STARK,225,16
ROBB STARK,227,157
ROBERT BARATHEON,228,117
ROBETT GLOVER,229,15
ROBIN ARRYN,230,18
RODRIK CASSEL,231,20
ROOSE BOLTON,232,57
RORGE,233,5
ROS,234,51
ROSLIN TULLY,235,2
SALLADHOR SAAN,236,14
SAMWELL TARLY,238,362
SANDOR CLEGANE,239,153
SANSA STARK,240,435
SELYSE BARATHEON,241,15
SEPTA MORDANE,243,35
SEPTA UNELLA,244,14
SHAE,245,48
SHAGGA,246,6
SHIREEN BARATHEON,248,44
SMALLJON UMBER,251,17
STANNIS BARATHEON,254,140
STYR,258,6
SYRIO FOREL,260,30
TALISA MAEGYR,261,9
TALLA TARLY,263,3
THENN WARG,266,1
THEON GREYJOY,267,231
THOROS OF MYR,269,33
THREE-EYED RAVEN,270,26
TOBHO MOTT,272,5
TOMMEN BARATHEON,275,95
TORMUND GIANTSBANE,276,129
TRYSTANE MARTELL,278,12
TYCHO NESTORIS,279,18
TYENE SAND,280,29
TYRION LANNISTER,281,803
TYWIN LANNISTER,282,58
VALA,283,3
VANCE CORBRAY,284,1
VARDIS EGEN,285,7
VARLY,286,1
VARYS,287,231
VISERYS TARGARYEN,290,69
WAIF,291,50
WALDA BOLTON,292,12
WALDER FREY,293,64
WAYMAR ROYCE,295,2
WHITE RAT,297,1
WILL,298,7
WOLKAN,301,14
WUN WEG WUN DAR WUN,302,2
WYMAN MANDERLY,304,1
YARA GREYJOY,306,82
YEZZAN ZO QAGGAZ,307,7
YGRITTE,308,18
YOHN ROYCE,309,40
YOREN,310,28
ADDAM MARBRAND,312,2
DEREK,313,11
JAREMY RYKKER,314,1
JHIQUI,315,2
JONOS BRACKEN,316,3
LEO LEFFORD,317,2
MASHA HEDDLE,318,3
MORD,319,10
TOMARD,320,1
COHOLLO,321,1
RYGER RIVERS,322,1
STEVRON FREY,323,1
MERRY FREY,324,1
